Estimated Calories,Protein (g),Fat (g),Carbs (g),Unmatched Ingredients,Item Name,Ingredients,Lean_Score_MCR,Energy_Score_MCR,Satiety_Score_MCR,Lean_Score_MCR_norm,Energy_Score_MCR_norm,Satiety_Score_MCR_norm,Macro_Cluster,Cluster_Label
194.0,10.3,15.6,4.5,,Single Sunny Side Up,"Oil or Butter, Eggs ",0.0012886597938144375,-0.017010309278350514,0.07345360824742268,0.5543006952061837,0.04166694952283087,0.9353760188816864,1,Energetic
416.0,43.4,24.71,2.5,,Double Fried Egg,"Black Pepper, Eggs, Oil, Salt",0.07162259615384615,-0.023689903846153847,0.057596153846153846,0.9999999999999999,0.012497446489412534,0.8210065220154501,2,Lean
757.0,28.8,41.58,69.4,,Masala Sunny Side up,"Coriander, Green Chili, Oil or Butter, Onion, Tomato, Eggs ",-0.03525759577278732,0.06421400264200794,0.027424042272126813,0.3227106329711942,0.3963700364988683,0.6033947204745101,1,Energetic
141.0,6.74,7.67,11.0,,Scrambled Eggs,"Black Pepper, Butter, Eggs, Salt",-0.018404255319148934,0.050815602836879435,0.030992907801418442,0.4295086100556768,0.3378597991197193,0.6291346245372756,1,Energetic
219.0,13.1,16.91,3.4,,Cheddar Cheese Omelette,"Black Pepper, Cheddar Cheese, Eggs, Salt",0.013447488584474884,-0.023082191780821916,0.07255707762557077,0.6313500090873833,0.015151299017916273,0.9289099270644416,1,Energetic
669.0,25.2,33.59,67.4,,Masala Omelette,"Black Pepper, Coriander, Eggs, Green Chili, Onion, Salt, Tomato",-0.03781016442451421,0.07564275037369209,0.019985052316890885,0.30653525402340553,0.4462788877387972,0.5497421280189869,1,Energetic
234.0,15.3,17.11,5.7,,Mushroom & Cheddar Omelette,"Black Pepper, Cheddar Cheese, Eggs, Mushrooms, Salt",0.01664529914529915,-0.0122008547008547,0.0658119658119658,0.6516142231721167,0.0626696314166644,0.8802618259942736,1,Energetic
431.0,45.6,24.91,4.8,,Truffle Oil & Mushroom Omelette,"Black Pepper, Eggs, Mushrooms, Salt, Truffle Oil",0.0713341067285383,-0.017761020881670534,0.054454756380510436,0.9981718706082096,0.03838862414424925,0.7983496668537692,2,Lean
734.0,27.64,35.85,76.0,,Podi Masala Scrambled Egg,"Black Pepper, Butter, Coriander, Eggs, Green Chili, Onion, Podi Spice Mix, Salt, Tomato",-0.03853542234332425,0.07912125340599456,0.017779291553133517,0.3019393652257819,0.4614693613105892,0.5338334113754108,1,Energetic
699.0,27.6,35.79,67.5,,Podi Masala Omelette,"Black Pepper, Coriander, Eggs, Green Chili, Onion, Podi Spice Mix, Salt, Tomato",-0.034399141630901284,0.07096566523605151,0.022231759656652358,0.32815057326228536,0.4258542575123509,0.5659461656628625,1,Energetic
475.0,15.8,22.77,36.0,,Jaggi dada's Anda Kadi Patta,"Eggs, Salt , Onion , Curry Leaves , Green Chilli , Coriander ",-0.028599999999999997,0.05182105263157895,0.0252,0.3648991689908526,0.3422505552559981,0.5873541512106293,1,Energetic
106.0,6.7,7.61,2.5,,Turkish Eggs,"Black Pepper, Eggs, Salt",0.015518867924528302,-0.012311320754716982,0.06471698113207547,0.6444761382307922,0.062187230896615285,0.8723644142315587,1,Energetic
479.0,12.84,5.16,95.4,,Maple Butter,"Maple Butter , Flour ",-0.07816283924843424,0.19377870563674324,-0.048977035490605426,0.05082428366724595,0.9621735382931036,0.052363476578092816,1,Energetic
652.0,14.4,19.1,111.7,,Chocolate Chips,"Chocolate Chips, Flour ",-0.07822085889570553,0.1566717791411043,-0.022101226993865027,0.05045661881310182,0.8001291815603373,0.24620118960973625,1,Energetic
645.0,14.5,9.5,129.0,,Banana Toffee Caramel,"Banana , Toffee, Flour ",-0.08488372093023255,0.19263565891472867,-0.045271317829457355,0.008234711005687512,0.9571819022758732,0.07909040598991057,1,Energetic
974.0,18.8,36.1,143.9,,Nutella,"Nutella, Flour ",-0.0731006160164271,0.1292094455852156,-0.007258726899383984,0.08290309927152689,0.6802023486018691,0.353250481702106,0,Energetic
540.0,6.3,47.5,24.0,,Avocado & Cream Cheese,"Avocado , Bread , Cream Cheese",-0.05453703703703704,0.000462962962962963,0.07462962962962963,0.20053869133119362,0.11797198008613864,0.9438578956308438,1,Energetic
131.0,1.9,8.1,6.4,,Uber Cucumber,"Cucumber , Bread, Cheese",-0.04083969465648855,0.017938931297709928,0.04717557251908397,0.2873374159935393,0.1942887843738526,0.7458496517339679,1,Energetic
158.0,3.14,8.16,11.8,,Mushroom Melt,"Mushrooms , Cheese , Butter , Bread",-0.04329113924050633,0.04886075949367089,0.029240506329113923,0.27180285041420993,0.3293230820703892,0.6164956933681541,1,Energetic
1238.0,58.3,34.0,172.5,,Chickpea Salad Sandwich,"Chickpeas, Lettuce , Bread , Onion ",-0.03630856219709209,0.12560581583198707,-0.014337641357027463,0.31605076109545394,0.6644654520056608,0.30219487943500883,0,Energetic
416.0,43.4,24.71,2.5,,Truffle Egg & mayo,"Black Pepper, Eggs, Salt, Truffle Oil",0.07162259615384615,-0.023689903846153847,0.057596153846153846,0.9999999999999999,0.012497446489412534,0.8210065220154501,2,Lean
211.0,3.8,8.4,25.0,,The Vietnamese,"Carrot , Bread , Cheese , Cucumber ",-0.06113744075829384,0.0985781990521327,0.004265402843601897,0.15871257577207082,0.5464370085659717,0.43636652840005924,1,Energetic
212.0,10.38,12.9,20.1,,Honey Mustard Chicken,"Chicken , Honey , Mustard , Bread ",-0.028867924528301888,0.0643867924528302,0.032405660377358494,0.3632013573485453,0.39712460219290285,0.6393238892968082,1,Energetic
145.0,10.1,12.7,2.5,,The Elvis,"Chicken , Bread ",0.017241379310344827,-0.026551724137931033,0.08241379310344828,0.6553915251249364,0.0,1.0,1,Energetic
295.0,9.04,1.56,60.5,,Sour dough toast & Butter,"Sourdough, Butter ",-0.07454237288135594,0.20244067796610168,-0.05623728813559322,0.07376682643317545,1.0,0.0,1,Energetic
1727.0,44.9,96.9,184.1,,Pistachio Biscotti,"Pistachio , Flour , Sugar",-0.05535610885929357,0.07854661262304573,0.02412854661262305,0.19534831296409583,0.4589599296540412,0.5796264553441275,0,Energetic
1244.0,21.6,55.1,175.1,,Chocolate Biscotti,"Chocolate , Flour , Sugar",-0.07516077170418006,0.11860932475884244,0.0020659163987138325,0.06984809331965885,0.6339120755230381,0.42050306433448853,0,Energetic
1048.0,20.0,41.17,150.8,,Vanilla Choco chip Cookie,"Vanilla , Flour , Sugar",-0.07250477099236642,0.12425095419847329,-0.0038835877862595423,0.08667891115882531,0.6585488293532713,0.3775931632229629,0,Energetic
1244.0,21.6,55.1,175.1,,Chocolate Crinkle Cookie,"Chocolate , Flour , Sugar",-0.07516077170418006,0.11860932475884244,0.0020659163987138325,0.06984809331965885,0.6339120755230381,0.42050306433448853,0,Energetic
1122.0,21.7,41.3,171.9,,Orange Madelines,"Orange , Flour , Sugar",-0.07566844919786096,0.13480392156862744,-0.009153297682709451,0.06663099048561888,0.7046331853108978,0.33958617583160844,0,Energetic
1244.0,21.6,55.1,175.1,,Chocolate Madelines,"Chocolate , Flour , Sugar",-0.07516077170418006,0.11860932475884244,0.0020659163987138325,0.06984809331965885,0.6339120755230381,0.42050306433448853,0,Energetic
1170.0,21.6,41.6,184.6,,Banana Bread tea cake,"Banana , Flour , Sugar",-0.0782051282051282,0.13999999999999999,-0.011777777777777772,0.050556302667256525,0.7273242369948394,0.3206575091986842,0,Energetic
1316.0,24.6,57.5,180.0,fruits,Fruit & Nut tea cake,"Nuts, Flour , Sugar , Fruits",-0.07154255319148936,0.11493161094224924,0.0026595744680851063,0.09277639165125579,0.6178516569990977,0.42478473357259405,0,Energetic
479.0,12.84,5.16,95.4,,Butter Croissant,"Butter , Flour",-0.07816283924843424,0.19377870563674324,-0.048977035490605426,0.05082428366724595,0.9621735382931036,0.052363476578092816,1,Energetic
1279.0,21.65,55.16,183.6,,Pain Au Chocolate,"Butter , Flour , Sugar , Chocolate",-0.07641125879593431,0.12198592650508208,6.254886630179695e-05,0.061923878405886035,0.6486575505484742,0.40605407832940915,0,Energetic
96.0,0.24,2.99,9.6,,BB Garlic Bread,"Garlic , Bread , Butter ",-0.06307291666666666,0.08442708333333333,0.0011458333333333366,0.14644765343939797,0.4846396930708906,0.4138671040725254,1,Energetic
147.0,1.14,7.99,10.4,,BB Cheese Garlic Bread,"Garlic , Bread , Butter , Cheese",-0.05479591836734694,0.04357142857142857,0.033129251700680276,0.19889818555383193,0.3062248007578095,0.6445426825211774,1,Energetic
690.0,18.64,33.82,70.7,,Bruschetta,"Garlic , Bread , Butter , Cheese , Tomato , Onion , Basil",-0.04872463768115943,0.07795652173913044,0.01827536231884058,0.23737129997174755,0.45638302806912656,0.537411246912458,1,Energetic
162.0,3.34,8.19,12.7,,Creamy Mushroom Bruschetta,"Mushrooms , Cheese , Butter , Bread , Garlic",-0.04385802469135802,0.05311728395061729,0.027037037037037037,0.2682105525219238,0.34791114183934446,0.600603503618274,1,Energetic
1577.0,32.1,89.1,174.2,,Bookbar Nachos,"Nachos , Cheese , Tomato , Onion , Sour Cream ",-0.06312618896639187,0.08221306277742547,0.023360811667723524,0.14611007206430254,0.47497116024812025,0.5740892829107159,0,Energetic
697.0,57.3,41.3,21.9,,Salted Fries,"Potatoes , Oil , Salt ",0.036872309899569584,0.001793400286944046,0.049827833572453364,0.7797908203852705,0.12378194282619784,0.7649786843362941,2,Lean
1058.0,94.9,63.4,22.7,,Truffle oil & Parmesan Fries,"Truffle Oil , Cheese , Potatoes , Oil , Salt",0.04900756143667297,-0.008506616257088847,0.053487712665406424,0.8566907275069003,0.07880221227883438,0.7913750099923721,2,Lean
727.0,59.7,43.5,22.0,,Peri - Peri Fries,"Peri Peri Spice mix , Potatoes , Oil , Salt ",0.03707015130674003,0.000343878954607978,0.05075653370013755,0.7810445221144603,0.11745194532838767,0.7716767938597464,2,Lean
1199.0,70.15,57.96,89.5,,90's Paneer Burger,"Cottage Cheese , Bread , Onion , Tomato , Lettuce , Oil , Butter , Cheese ",-0.0029858215179316082,0.050475396163469556,0.025946622185154297,0.5272137234313181,0.3363741311661803,0.5927390510504443,2,Lean
1267.0,78.04,66.86,91.1,,90's Chicken Burger,"Chicken , Bread , Onion , Tomato , Lettuce , Oil , Butter , Cheese ",-0.000741910023677972,0.04551696921862667,0.031199684293606946,0.5414331720327478,0.3147208933325938,0.6306259687831385,2,Lean
262.0,4.65,6.06,48.4,,BAKE Mac & Cheese,"Pasta, Cheese , Butter ",-0.08618320610687022,0.1731679389312977,-0.03229007633587787,0.0,0.872167203951574,0.17271565130046948,1,Energetic
770.0,24.5,23.13,116.3,,Margherita,"Tomato , Flour , Cheese , Basil",-0.058720779220779215,0.1360194805194805,-0.015272727272727275,0.1740267245732789,0.7099414791218899,0.29545071337915474,1,Energetic
770.0,24.5,23.13,116.3,,Marinara,"Tomato , Flour , Cheese , Basil",-0.058720779220779215,0.1360194805194805,-0.015272727272727275,0.1740267245732789,0.7099414791218899,0.29545071337915474,1,Energetic
770.0,24.5,23.13,116.3,,Burrata,"Tomato , Flour , Cheese , Basil",-0.058720779220779215,0.1360194805194805,-0.015272727272727275,0.1740267245732789,0.7099414791218899,0.29545071337915474,1,Energetic
768.0,24.3,23.1,116.0,,Quattro Formaggi,"Cheese , Cheese , Cheese , Cheese , Flour , Tomato",-0.058919270833333336,0.13600260416666668,-0.015234374999999994,0.1727689025558971,0.7098677808128684,0.2957273233585689,1,Energetic
805.0,50.4,27.2,87.7,,Truffle Earth,"Truffle Oil , Cheese , Flour ",-0.008757763975155285,0.0920496894409938,0.0011055900621118019,0.4906374862173806,0.5179272870592599,0.4135768555518366,2,Lean
499.0,13.9,10.13,88.6,,Garlic Pie,"Garlic , Cheese , Flour",-0.07107214428857715,0.16740480961923848,-0.03296593186372745,0.09575732705523438,0.8469998653887818,0.16784114529727162,1,Energetic
499.0,13.9,10.13,88.6,,GMT,"Garlic , Cheese , Flour",-0.07107214428857715,0.16740480961923848,-0.03296593186372745,0.09575732705523438,0.8469998653887818,0.16784114529727162,1,Energetic
516.0,14.7,11.0,91.4,,Hot Damn (Spicy),"Spices , Cheese , Paprika , Flour ",-0.07073643410852713,0.1664728682170543,-0.031821705426356595,0.09788468977093084,0.8429301172503227,0.17609370580488246,1,Energetic
602.0,24.8,20.8,93.7,,Buffalo Chicken (Spicy),"Chicken , Cheese , Flour , Paprika ",-0.053903654485049836,0.13837209302325582,-0.012142857142857141,0.20455237487713046,0.720215237037694,0.318024429371128,1,Energetic
908.0,62.7,37.2,92.3,,Truffle Mushrooms & Chicken,"Mushrooms, Truffle Oil , Chicken , Flour , Cheese",-0.0022577092511013187,0.08116740088105726,0.010473568281938331,0.5318276999543572,0.47040479958828857,0.4811419847676388,2,Lean
1033.0,29.8,64.9,96.0,,Pesto Chicken,"Pesto , Chicken , Flour , Cheese",-0.049031945788964186,0.06151984511132623,0.03494675701839304,0.23542391842175203,0.3846047660971991,0.6576511653506716,0,Energetic
901.0,34.9,33.0,130.1,,Caribbean Chicken,"Chicken , Pineapple , Tomato , Cheese , Flour ",-0.051775804661487235,0.12608213096559379,-0.006692563817980016,0.21803635197479831,0.6665454997680766,0.357333847488687,0,Energetic
957.0,32.7,29.2,141.1,,Pork Pepperoni,"Pork , Cheese , Flour , Tomato",-0.05480668756530825,0.13218390804597702,-0.013719958202716822,0.1988299421951782,0.6931916986127489,0.306649825972683,0,Energetic
