Estimated Calories,Protein (g),Fat (g),Carbs (g),Unmatched Ingredients,Item Name,Ingredients
194.0,10.3,15.6,4.5,,Single Sunny Side Up,"Oil or Butter, Eggs "
416.0,43.4,24.71,2.5,,Double Fried Egg,"Black Pepper, Eggs, Oil, Salt"
757.0,28.8,41.58,69.4,,Masala Sunny Side up,"Coriander, Green Chili, Oil or Butter, Onion, Tomato, Eggs "
141.0,6.74,7.67,11.0,,Scrambled Eggs,"Black Pepper, Butter, Eggs, Salt"
219.0,13.1,16.91,3.4,,Cheddar Cheese Omelette,"Black Pepper, Cheddar Cheese, Eggs, Salt"
669.0,25.2,33.59,67.4,,Masala Omelette,"Black Pepper, Coriander, Eggs, Green Chili, Onion, Salt, Tomato"
234.0,15.3,17.11,5.7,,Mushroom & Cheddar Omelette,"Black Pepper, Cheddar Cheese, Eggs, Mushrooms, Salt"
431.0,45.6,24.91,4.8,,Truffle Oil & Mushroom Omelette,"Black Pepper, Eggs, Mushrooms, Salt, Truffle Oil"
734.0,27.64,35.85,76.0,,Podi Masala Scrambled Egg,"Black Pepper, Butter, Coriander, Eggs, Green Chili, Onion, Podi Spice Mix, Salt, Tomato"
699.0,27.6,35.79,67.5,,Podi Masala Omelette,"Black Pepper, Coriander, Eggs, Green Chili, Onion, Podi Spice Mix, Salt, Tomato"
475.0,15.8,22.77,36.0,,Jaggi dada's Anda Kadi Patta,"Eggs, Salt , Onion , Curry Leaves , Green Chilli , Coriander "
106.0,6.7,7.61,2.5,,Turkish Eggs,"Black Pepper, Eggs, Salt"
479.0,12.84,5.16,95.4,,Maple Butter Pancake,"Maple Butter , Flour "
652.0,14.4,19.1,111.7,,Chocolate Chips Pancake,"Chocolate Chips, Flour "
645.0,14.5,9.5,129.0,,Banana Toffee Caramel Pancake,"Banana , Toffee, Flour "
974.0,18.8,36.1,143.9,,Nutella Pancake ,"Nutella, Flour "
540.0,6.3,47.5,24.0,,Avocado & Cream Cheese Sandwich,"Avocado , Bread , Cream Cheese"
